ConName,TimeEntryDate,Title,TimeDiff,Notes,Resource,Requestor,HourType,BillRate,PODDet,InvDescription,InvDetID,StartDateTime,EndDateTime,Office-POD,RoleType,WorkType,AssignedName,AH_Rate,NH_Rate,AH_HoursWorked,NH_HoursWorked,Qty,Category
Under Contract,2026-04-02,"MyRMM Manage-Engine Latest version (11.5.2600.32.W) updated:- BUS-CENTER-PC, MELSDESKTOP, MEGAN","- 
0.82 hrs","<p><span lang=""EN-IN"" style=""font-size:10.0pt;line-height:107%;font-family:'Segoe UI',sans-serif;color:#333333;letter-spacing:.1pt;background:white;"">Logged into the portal, Found New Agent Version (11.5.2600.32.W) was released, and Pushed the sensor from the portal but it failed so connected to the below machine(</span><span lang=""EN-IN"">BUS-CENTER-PC, MELSDESKTOP, MEGAN)</span><span lang=""EN-IN"" style=""font-size:10.0pt;line-height:107%;font-family:'Segoe UI',sans-serif;color:#333333;letter-spacing:.1pt;background:white;"">and Tried to update the version but got an error (old version is already installed on it) so removed the earlier installed version. Downloaded and installed the new version after verifying the same from the portal, Devices are up to date with the latest version.</span></p>","Y. Kumar
CHD-TS1
Support - Remote",Aventine at Aliso Viejo Apartments,N,0.82 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220226,2026-04-02T10:10:00,2026-04-02T10:59:00,CHD-TS1,Support,Remote,Y. Kumar,0.0000,0.0000,0.00,0.82,0.82,My RMM
Under Contract,2026-04-04,"Failed patches updated on machine Megan,DESKTOP-N6E84SS,DESKTOP-I7G1MM7,Melsdesktop","- 
0.98 hrs","<p class=""pf0""><span class=""cf0"">Worked on the  ticket. Login to the manage engine portal and checked failed or missing patches for the below mentioned machine then download and installed</span></p><p class=""pf0""><span class=""cf0"">the failed patches manually which are applicable to the computer. Then scan the machine for installed patches.</span></p><p class=""pf0""><span class=""cf0"">Didn't reboot the machine as multiple user task were open. So will reboot the machine in APD</span></p><p class=""pf0"">&nbsp;</p><p class=""pf0""><span class=""cf0"">Machine : Megan,DESKTOP-N6E84SS,DESKTOP-I7G1MM7,Melsdesktop</span></p><p class=""pf0""><span class=""cf0"">Patch installed:</span></p><p class=""pf0""><span class=""cf0"">Patch ID   Patch Name</span></p><p class=""pf0""><span class=""cf0"">357629 Zoom Workplace (EXE) (x64) (User Based) (7.0.1.34140)</span></p><p class=""pf0""><span class=""cf0"">113145 2026-03 Cumulative Update for Windows 11, version 25H2 for x64-based Systems (KB5086672) (26200.8117)</span></p><p class=""pf0""><span class=""cf0"">357725 Adobe Acrobat Reader DC (x64) (26.001.21367)</span></p>","S. Sharma
CHD-TS1
Support - Remote",Aventine at Aliso Viejo Apartments,AH,0.98 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",220299,2026-04-04T23:00:00,2026-04-04T23:59:00,CHD-TS1,Support,Remote,S. Sharma,0.0000,0.0000,0.98,0.00,0.98,My RMM
Under Contract,2026-04-05,Performed Weekly Firewall Backup for AAVA:- Sophos Firewall,"- 
0.33 hrs","Logged into the firewall to perform the weekly backup for the AAVA:- Sophos Firewall. Downloaded the backup file and placed the same file on the Team Channel under the network config-firewall folder. Hence, closing this ticket.","S. Kumar
CHD-TS1
Support - Remote",Aventine at Aliso Viejo Apartments,N,0.33 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220298,2026-04-05T09:50:00,2026-04-05T10:10:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.33,0.33,My Network Devices
Under Contract,2026-04-06,Logged into the portal to check high-vulnerability systems and agent version status for AAVA Systems,"- 
0.42 hrs",Logged into the portal to check high-vulnerability systems and agent version status for AAVA Systems,"S. Kumar
CHD-TS1
Support - Remote",Aventine at Aliso Viejo Apartments,N,0.42 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220298,2026-04-06T14:00:00,2026-04-06T14:25:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.42,0.42,My RMM
Under Contract,2026-04-11,"Failed patches updated on machine Bus-Center-PC,DESKTOP-I7G1MM7,DESKTOP-N6E84SS,Megan","- 
0.98 hrs","<p class=""pf0""><span class=""cf0"">Worked on the  ticket. Login to the manage engine portal and checked failed or missing patches for the below mentioned machine then download and installed</span></p><p class=""pf0""><span class=""cf0"">the failed patches manually which are applicable to the computer. </span><span class=""cf0"">Then login again in manage engine portal and scan the machines for installed patches in APD. After scan  the machines are now in healthy systems.</span></p><p class=""pf0""><span class=""cf0""></span></p><p class=""pf0"">&nbsp;</p><p class=""pf0""><span class=""cf0"">Machine : Bus-Center-PC,DESKTOP-I7G1MM7,DESKTOP-N6E84SS,Megan</span></p><p class=""pf0""><span class=""cf0"">Patch installed:</span></p><p class=""pf0""><span class=""cf0"">Patch ID   Patch Name</span></p><p class=""pf0""><span class=""cf0"">43980 Update for Microsoft 365 Apps for Enterprise Current Channel for x64 2603 of version(19822.20168)</span></p><p class=""pf0""><span class=""cf0"">357851 Google Chrome (x64) (147.0.7727.55,147.0.7727.56)</span></p><p class=""pf0""><span class=""cf0"">113160 Update for Microsoft WebView2 Runtime (x64) (146.0.3856.109)</span></p>","S. Sharma
CHD-TS1
Support - Remote",Aventine at Aliso Viejo Apartments,AH,0.98 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",220379,2026-04-11T23:00:00,2026-04-11T23:59:00,CHD-TS1,Support,Remote,S. Sharma,0.0000,0.0000,0.98,0.00,0.98,My RMM
Under Contract,2026-04-12,Performed Weekly Firewall Backup for AAVA:- Sophos Firewall,"- 
0.33 hrs","Logged into the firewall to perform the weekly backup for the AAVA:- Sophos Firewall. Downloaded the backup file and placed the same file on the Team Channel under the network config-firewall folder. Hence, closing this ticket...","S. Kumar
CHD-TS1
Support - Remote",Aventine at Aliso Viejo Apartments,N,0.33 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220377,2026-04-12T10:10:00,2026-04-12T10:30:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.33,0.33,My Network Devices
Under Contract,2026-04-12,"Huntress Agent updated with Version 0.14.162, replaced with Version 0.14.150 on Patty-Lenovo, DESKTOP-N6E84SS","- 
0.50 hrs","Huntress Agent updated with Version 0.14.162, replaced with Version 0.14.150 on Patty-Lenovo, DESKTOP-N6E84SS.","D. Bhardwaj
CHD-TS1
Support - Remote",Aventine at Aliso Viejo Apartments,N,0.50 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220377,2026-04-12T10:00:00,2026-04-12T10:30:00,CHD-TS1,Support,Remote,D. Bhardwaj,0.0000,0.0000,0.00,0.50,0.50,My AntiVirus
Under Contract,2026-04-16,"My Remote version 26.1.25.9592 updated on machine BUS-CENTER-PC,DESKTOP-I7G1MM7,DESKTOP-N6E84SS,MELSDESKTOP","- 
0.95 hrs","Review the my remote portal, and found&nbsp; the machine BUS-CENTER-PC,DESKTOP-I7G1MM7,DESKTOP-N6E84SS,MELSDESKTOP<br />running with old version of My Remote. Tried to reinstall the agent from my remote portal, but not succeeded. Tried to restart the service and reinstall again, but unable to update it. So connected to the machine from manage engine. Uninstalled the old version and reinstalled the latest version 26.1.25.9592. After that refresh the machine from the portal. It was updated to latest version of My Remote. Hence closing this ticket.&nbsp;","S. Sharma
CHD-TS1
Support - Remote",Aventine at Aliso Viejo Apartments,AH,0.95 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",220379,2026-04-16T01:30:00,2026-04-16T02:27:00,CHD-TS1,Support,Remote,S. Sharma,0.0000,0.0000,0.95,0.00,0.95,My Remote
Under Contract,2026-04-15,Megan- printer,"- 
0.33 hrs",Megan issues with printer. checked the machine and printer drives. Found out machine was connected on different network and rebooted the printer.,"R. Mohamed
IRV-TS1
Support - Remote",Aventine at Aliso Viejo Apartments,N,0.33 hrs / $0,"IRV-TS1
Support
Remote","Support Contract 
Contracted",220378,2026-04-15T11:45:00,2026-04-15T12:05:00,IRV-TS1,Support,Remote,R. Mohamed,0.0000,0.0000,0.00,0.33,0.33,Desktop Work
Under Contract,2026-04-19,Device Megan & DESKTOP-N6E84SS was identified as non-compliant due to missing patches.,"- 
0.67 hrs","<p data-start=""53"" data-end=""145"">Device <strong data-start=""60"" data-end=""87"">Megan &amp; DESKTOP-N6E84SS&nbsp;</strong>was identified as non-compliant due to missing patches.</p><p data-start=""147"" data-end=""308"">Logged in to the ManageEngine portal and verified pending updates on the affected system. Proceeded with patch remediation by installing the following updates:</p><ul data-start=""310"" data-end=""525""><li data-section-id=""1o1wvq3"" data-start=""310"" data-end=""397"">Microsoft 365 Apps for Enterprise Current Channel (Version 2603, Build 19822.20182)
</li><li data-section-id=""1us4hh9"" data-start=""398"" data-end=""458"">Microsoft WebView2 Runtime (x64) &ndash; Version 147.0.3912.72
</li><li data-section-id=""1kel87m"" data-start=""459"" data-end=""525"">Google Chrome (x64) &ndash; Versions 147.0.7727.101 / 147.0.7727.102
</li></ul><p data-start=""527"" data-end=""663"">After installation, performed a manual patch scan on the system to verify successful deployment and to clear the pending patch status.</p><p data-start=""665"" data-end=""835"" data-is-last-node="""" data-is-only-node="""">Post validation, confirmed that all patches have been successfully applied and no high vulnerabilities remain. The system is now compliant as per patch management policy.</p>","S. Kumar
CHD-TS1
Support - Remote",Aventine at Aliso Viejo Apartments,N,0.67 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220443,2026-04-19T12:00:00,2026-04-19T12:40:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.67,0.67,My RMM
