ConName,TimeEntryDate,Title,TimeDiff,Notes,Resource,Requestor,HourType,BillRate,PODDet,InvDescription,InvDetID,StartDateTime,EndDateTime,Office-POD,RoleType,WorkType,AssignedName,AH_Rate,NH_Rate,AH_HoursWorked,NH_HoursWorked,Qty,Category
Under Contract,2026-04-02,Accessed the Cisco Umbrella portal to verify that all computers are properly syncing with the portal and appearing as expected.,"- 
0.87 hrs",Accessed the Cisco Umbrella portal to verify that all computers are properly syncing with the portal and appearing as expected..,"R. Uniyal
CHD-TS1
Support - Remote",B2 Insurance,AH,0.87 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Hourly 
After-Hours",220192,2026-04-02T05:38:00,2026-04-02T06:30:00,CHD-TS1,Support,Remote,R. Uniyal,0.0000,0.0000,0.87,0.00,0.87,My Secure Internet
Under Contract,2026-04-04,"PONO,LPT-EREAD,B2I-HQ-WINEDGE has Missing patch while last run","- 
0.98 hrs","I worked on the missing patches and logged into the ManageEngine portal to review the approved patches for the machines. I downloaded and manually installed the applicable failed patches.then rebooted..Scanned the devices Some patches were not applicable due to compatibility issues. All previously missing patches were successfully updated.<br /><br /><br />Patches are&nbsp;<br />Zoom Workplace (EXE) (x64) (User Based) (7.0.1.34140)<br />2026-03 Cumulative Update for Windows 11, version 25H2 for x64-based Systems (KB5086672) (26200.8117)<br />Update for Microsoft 365 Apps for Business Current Channel for x64 2603 of version(19822.20142)<br /><br />Machines are :PONO,LPT-EREAD,B2I-HQ-WINEDGE<br />","R. Uniyal
CHD-TS1
Support - Remote",B2 Insurance,AH,0.98 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Hourly 
After-Hours",220264,2026-04-04T23:00:00,2026-04-04T23:59:00,CHD-TS1,Support,Remote,R. Uniyal,0.0000,0.0000,0.98,0.00,0.98,My RMM
Under Contract,2026-04-05,Performed Weekly Firewall Backup for B2I:- Sophos Firewall,"- 
0.33 hrs","Logged into the firewall to perform the weekly backup for the B2I:- Sophos Firewall. Downloaded the backup file and placed the same file on the Team Channel under the network config-firewall folder. Hence, closing this ticket.","S. Kumar
CHD-TS1
Support - Remote",B2 Insurance,AH,"N : 0.17 hrs / $0
AH : 0.17 hrs / $0","CHD-TS1
Support
Remote","Support Contract 
Hourly 
After-Hours",220263,2026-04-05T07:50:00,2026-04-05T08:10:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.17,0.33,My Network Devices
Under Contract,2026-04-05,Performed Weekly Firewall Backup for B2I:- Sophos Firewall,"- 
0.33 hrs","Logged into the firewall to perform the weekly backup for the B2I:- Sophos Firewall. Downloaded the backup file and placed the same file on the Team Channel under the network config-firewall folder. Hence, closing this ticket.","S. Kumar
CHD-TS1
Support - Remote",B2 Insurance,AH,"N : 0.17 hrs / $0
AH : 0.17 hrs / $100","CHD-TS1
Support
Remote","Support Contract 
Hourly 
After-Hours",220263,2026-04-05T07:50:00,2026-04-05T08:10:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.17,0.33,My Network Devices
Under Contract,2026-04-06,"ICAZA,LPT-EREAD,LAPTOP-CO9S1K5I : Manually patch update as APD couldn't execute","- 
0.60 hrs","<ul><li data-section-id=""19hnn9p"" data-start=""0"" data-end=""104"">ICAZA: 2026-03 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5078885) (ESU)
</li><li data-section-id=""1k3rmcp"" data-start=""105"" data-end=""176"">ICAZA: Comet Lake PCH CNVi WiFi [PCI\VEN_8086&amp;DEV_06F0] &ndash; 24.20.2.1
</li><li data-section-id=""hjwch7"" data-start=""177"" data-end=""252"">LPT-EREAD: Comet Lake PCH CNVi WiFi [PCI\VEN_8086&amp;DEV_06F0] &ndash; 24.20.2.1
</li><li data-section-id=""s4vbu6"" data-start=""253"" data-end=""348"" data-is-last-node="""">LAPTOP-CO9S1K5I: <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline"">Zoom Workplace</span> (EXE) (x64) (User Based) &ndash; 7.0.1.34140</li></ul><p>All patches were also updated into myrmm.</p>","S. Kumar Sharma
CHD-TS1
Support - Remote",B2 Insurance,AH,0.60 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Hourly 
After-Hours",220264,2026-04-06T03:30:00,2026-04-06T04:06:00,CHD-TS1,Support,Remote,S. Kumar Sharma,0.0000,0.0000,0.60,0.00,0.60,My RMM
Under Contract,2026-04-06,"APD failed to update Cisco umbrella, manually updated on LPT-EREAD and ICAZA","- 
0.50 hrs",Connected to LPT-EREAD and ICAZA machines and deployed the latest version of Cisco Secure Client (5.1.16.194). I verified all systems were successfully synced over cisco portal.<br />,"S. Kumar
CHD-TS1
Support - Remote",B2 Insurance,N,0.50 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220263,2026-04-06T08:40:00,2026-04-06T09:10:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.50,0.50,My AntiVirus
Under Contract,2026-04-06,"APD failed to update Cisco umbrella, manually updated on LPT-EREAD and ICAZA","- 
0.50 hrs",Connected to LPT-EREAD and ICAZA machines and deployed the latest version of Cisco Secure Client (5.1.16.194). I verified all systems were successfully synced over cisco portal.<br />,"S. Kumar
CHD-TS1
Support - Remote",B2 Insurance,N,0.50 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Hourly",220263,2026-04-06T08:40:00,2026-04-06T09:10:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.50,0.50,My AntiVirus
Under Contract,2026-04-06,Update Missing ptach on the Jared-Friedman-PC,"- 
0.58 hrs","<p data-start=""0"" data-end=""146"">Worked on the missing/failed patches and logged into the ManageEngine portal to review the pending updates for the system <strong data-start=""122"" data-end=""143"">Jared-Friedman-PC</strong>.</p><p data-start=""148"" data-end=""238"">Downloaded and manually installed the applicable driver and firmware updates, including:</p><ul data-start=""239"" data-end=""424""><li data-section-id=""13qv9pg"" data-start=""239"" data-end=""304"">Meteor Lake PCH CNVi WiFi [PCI\VEN_8086&amp;DEV_7E40] (24.20.0.4)
</li><li data-section-id=""1js0hld"" data-start=""305"" data-end=""383"">Meteor Lake-P (Intel Arc Graphics) [PCI\VEN_8086&amp;DEV_7D55] (32.0.101.8424)
</li><li data-section-id=""jvpqrv"" data-start=""384"" data-end=""424"">Lenovo Firmware Update &ndash; 21KS (1.26)
</li></ul><p data-start=""426"" data-end=""531"">Completed the installation process and verified the updated driver and firmware versions on the system.</p><p data-start=""533"" data-end=""715"">Performed a post-installation scan to confirm compliance. All previously missing patches are now successfully installed and reflecting compliant status in the ManageEngine console.</p><p data-start=""717"" data-end=""838"" data-is-last-node="""" data-is-only-node="""">a reboot is required to finalize the installation due so open files .&nbsp;</p>","S. Kumar
CHD-TS1
Support - Remote",B2 Insurance,N,0.58 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220263,2026-04-06T14:55:00,2026-04-06T15:30:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.58,0.58,My RMM
Under Contract,2026-04-06,Update Missing ptach on the Jared-Friedman-PC,"- 
0.58 hrs","<p data-start=""0"" data-end=""146"">Worked on the missing/failed patches and logged into the ManageEngine portal to review the pending updates for the system <strong data-start=""122"" data-end=""143"">Jared-Friedman-PC</strong>.</p><p data-start=""148"" data-end=""238"">Downloaded and manually installed the applicable driver and firmware updates, including:</p><ul data-start=""239"" data-end=""424""><li data-section-id=""13qv9pg"" data-start=""239"" data-end=""304"">Meteor Lake PCH CNVi WiFi [PCI\VEN_8086&amp;DEV_7E40] (24.20.0.4)
</li><li data-section-id=""1js0hld"" data-start=""305"" data-end=""383"">Meteor Lake-P (Intel Arc Graphics) [PCI\VEN_8086&amp;DEV_7D55] (32.0.101.8424)
</li><li data-section-id=""jvpqrv"" data-start=""384"" data-end=""424"">Lenovo Firmware Update &ndash; 21KS (1.26)
</li></ul><p data-start=""426"" data-end=""531"">Completed the installation process and verified the updated driver and firmware versions on the system.</p><p data-start=""533"" data-end=""715"">Performed a post-installation scan to confirm compliance. All previously missing patches are now successfully installed and reflecting compliant status in the ManageEngine console.</p><p data-start=""717"" data-end=""838"" data-is-last-node="""" data-is-only-node="""">a reboot is required to finalize the installation due so open files .&nbsp;</p>","S. Kumar
CHD-TS1
Support - Remote",B2 Insurance,N,0.58 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Hourly",220263,2026-04-06T14:55:00,2026-04-06T15:30:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.58,0.58,My RMM
Under Contract,2026-04-07,"Cisco Umbrella Agent Syncing Issue with Portal for machines B2I-3CX-LOANER,B2I-HQ-WINEDGE,ColeB2,DESKTOP-7QV89JS","- 
0.95 hrs","Logged into the Cisco Umbrella portal and identified that machines B2I-3CX-LOANER,B2I-HQ-WINEDGE,ColeB2,DESKTOP-7QV89JS were experiencing syncing issues with the Cisco Umbrella portal. I then connected to the affected machines and addressed the network connectivity settings. After ensuring proper communication between the agent and the portal, the agent is now successfully syncing and communicating with the Cisco Umbrella cloud, with the correct status and configuration reflected in the portal.","S. Sharma
CHD-TS1
Support - Remote",B2 Insurance,AH,0.95 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Hourly 
After-Hours",220264,2026-04-07T00:24:00,2026-04-07T01:21:00,CHD-TS1,Support,Remote,S. Sharma,0.0000,0.0000,0.95,0.00,0.95,My Secure Internet
