ConName,TimeEntryDate,Title,TimeDiff,Notes,Resource,Requestor,HourType,BillRate,PODDet,InvDescription,InvDetID,StartDateTime,EndDateTime,Office-POD,RoleType,WorkType,AssignedName,AH_Rate,NH_Rate,AH_HoursWorked,NH_HoursWorked,Qty,Category
Under Contract,2024-01-05,JDH Pacific IT Service Request,"- 
0.58 hrs",As per request tried to call the user but did not get to connect any and verified the TS server and found that there are users' old sessions there so I informed about the same to them. as per instruct,"G. Kumar
CHD-TS1
Support - Remote",JDH Pacific,AH,0.58 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186213,2024-01-05T06:25:00,2024-01-05T07:00:00,CHD-TS1,Support,Remote,G. Kumar,0.0000,0.0000,0.58,0.00,0.58,Onboarding
Under Contract,2024-01-05,Myremote installtion for JDH from MyRMM,"- 
0.57 hrs",As per instruction login into the MyRMM portal and create the package and apply it for the JDH machine and monitor it and verify that my remote agent is installed on the same as the myrmm machine and,"G. Kumar
CHD-TS1
Support - Remote",JDH Pacific,AH,0.57 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186213,2024-01-05T05:01:00,2024-01-05T05:35:00,CHD-TS1,Support,Remote,G. Kumar,0.0000,0.0000,0.57,0.00,0.57,My Remote
Under Contract,2024-01-05,JDH Pacific IT Service Request,"- 
0.50 hrs",Logged into the servers and then create a new group policy for the signout disconnected session for client users. After that check the running sessions.,"A. Bhardwaj
CHD-TS1
Support - Remote",JDH Pacific,AH,0.00 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186213,2024-01-05T07:30:00,2024-01-05T08:00:00,CHD-TS1,Support,Remote,A. Bhardwaj,0.0000,0.0000,0.00,0.50,0.50,Datacenter
Under Contract,2024-01-06,RE: JDH Pacific IT Service Request,"- 
1.67 hrs","Sent email to Rick, asked him to provide user contact details, so called Hans Wang, reqiested him to provide access but due MAC securities could not connect to user machine, then called Stephanie Olne","M. Kumar
CHD-TS1
Support - Remote",JDH Pacific,AH,1.67 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186350,2024-01-06T00:00:00,2024-01-06T01:40:00,CHD-TS1,Support,Remote,M. Kumar,0.0000,0.0000,1.67,0.00,1.67,My Network Devices
Under Contract,2024-01-06,Remote Access Login Issues - Unable to Login,"- 
0.37 hrs","<p>Got mail from Rick that two user are having login issue to the RDP.</p><p>so called user (Stephanie Olney) and asked her about the issue. user said, she is not able to login to RDP and getting pass","S. Kumar
CHD-TS1
Support - Remote",JDH Pacific,AH,0.37 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186350,2024-01-06T04:50:00,2024-01-06T05:12:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.37,0.00,0.37,User Generated
Under Contract,2024-01-07,RDP issue on jdh2018,"- 
0.25 hrs","Received a call from Rick reporting that he was unable to access his office machine remotely. I checked and confirmed that his machine was online. I initiated a remote session on his laptop, took cont","S. Singh
CHD-TS1
Support - Remote",JDH Pacific,AH,0.25 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186350,2024-01-07T03:04:00,2024-01-07T03:19:00,CHD-TS1,Support,Remote,S. Singh,0.0000,0.0000,0.25,0.00,0.25,User Generated
Under Contract,2024-01-07,JDH - Passportal Sync,"- 
1.92 hrs","For the implementation of N-able / Passportal within the name JDH-User. A dedicated client was established under the Passportal site, ensuring a separate and organized structure for user management. T","G. Kumar
CHD-TS1
Support - Remote",JDH Pacific,AH,1.92 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186350,2024-01-07T00:00:00,2024-01-07T01:55:00,CHD-TS1,Support,Remote,G. Kumar,0.0000,0.0000,1.92,0.00,1.92,My Credential Manager
Under Contract,2024-01-07,Created patch management windows in MyRMM for JDH,"- 
0.72 hrs",As checked and found in the myRMM portal patch management windows were not created for JDH and updates are necessary.&nbsp; Security Updates: These patches often contain vital security updates that pr,"G. Kumar
CHD-TS1
Support - Remote",JDH Pacific,AH,0.72 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186350,2024-01-07T03:12:00,2024-01-07T03:55:00,CHD-TS1,Support,Remote,G. Kumar,0.0000,0.0000,0.72,0.00,0.72,My RMM
Under Contract,2024-01-07,Migration to one drive,"- 
1.17 hrs","Connected to TS and DC server to find out where the Shares are located, It was on DC Server, so checked the permissions of PUBLIC and USERS Folders, write them in excel file, make a plan in word fiel","M. Kumar
CHD-TS1
Support - Remote",JDH Pacific,N,1.17 hrs / $0,"CHD-TS1
Support
Remote","Invoice 
Contracted",201804,2024-01-07T18:20:00,2024-01-07T19:30:00,CHD-TS1,Support,Remote,M. Kumar,0.0000,0.0000,0.00,1.17,1.17,Project Work
Under Contract,2024-01-08,Weekly Maintenance Window : JDH : 9pm Friday to 3am Saturday and 9pm Saturday to 3am Sunday PST,"- 
0.78 hrs","<p>Checked the patch management in Manage Engine for approved patches for JDH on the machines.Verified all machines for the pending updates, then deployed and installed the pending updates applicable","G. Kumar
CHD-TS1
Support - Remote",JDH Pacific,AH,0.78 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186350,2024-01-08T00:35:00,2024-01-08T01:22:00,CHD-TS1,Support,Remote,G. Kumar,0.0000,0.0000,0.78,0.00,0.78,Automated
Under Contract,2024-01-09,Migration to one drive,"- 
1.58 hrs","Make a list in excel file for all shares, permission, group etc, sent email to rick, waiting for his reply","M. Kumar
CHD-TS1
Support - Remote",JDH Pacific,N,1.58 hrs / $0,"CHD-TS1
Support
Remote","Invoice 
Contracted",201804,2024-01-09T13:55:00,2024-01-09T15:30:00,CHD-TS1,Support,Remote,M. Kumar,0.0000,0.0000,0.00,1.58,1.58,Project Work
Hourly,2024-01-10,Onboarding Project,"- 
3.00 hrs",Onsite to review onsite and initiate onboarding,"K. Stickel
IRV-TS1
Support - Onsite",JDH Pacific,N,2.00 hrs / $175,"IRV-TS1
Support
Onsite","Support Contract 
Hourly",186351,2024-01-10T09:30:00,2024-01-10T12:30:00,IRV-TS1,Support,Onsite,K. Stickel,0.0000,175.0000,0.00,2.00,2.00,Onboarding
Under Contract,2024-01-14,Weekly Maintenance Window : JDH : 9pm Friday to 3am Saturday and 9pm Saturday to 3am Sunday PST,"- 
0.75 hrs","<span style=""white-space:pre;""></span>Checked the patch management in Manage Engine for approved patches for JDH on the machines.Verified all machines for the pending updates, then deployed and instal","G. Kumar
CHD-TS1
Support - Remote",JDH Pacific,AH,0.75 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186478,2024-01-14T06:15:00,2024-01-14T07:00:00,CHD-TS1,Support,Remote,G. Kumar,0.0000,0.0000,0.75,0.00,0.75,My RMM
Under Contract,2024-01-15,Henry  need assistance with his computer,"- 
0.12 hrs",Got a call from Henry need assistance with his computer transfer the call to surinder and assign ticket&nbsp;,"N. Kaur
CHD-TS1
Support - Remote",JDH Pacific,AH,0.12 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186478,2024-01-15T23:52:00,2024-01-15T23:59:00,CHD-TS1,Support,Remote,N. Kaur,0.0000,0.0000,0.12,0.00,0.12,User Generated
Under Contract,2024-01-15,Henry  need assistance with his computer,"- 
0.72 hrs","<p>Henry called in that he is having issue with the Unipoint application.</p><p>So established the remote session and check the application. user is getting error ""Problem with the ConnectionString in","S. Kumar
CHD-TS1
Support - Remote",JDH Pacific,AH,0.72 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",186478,2024-01-15T23:00:00,2024-01-15T23:43:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.72,0.00,0.72,User Generated
Under Contract,2024-01-17,"Failed patches deployed and updated successfully on the following machines -  DESKTOP-5RDSJ33, DESKTOP-ER662A2, DESKTOP-KND184L, DESKTOP-S0B7F7D, JDH2018, WHI2017.","- 
1.67 hrs","<p>As I noticed that the automated patch(Security Updates, BIOS Updates Third Party Software Updates) was not deploying on the below listed machines - DESKTOP-5RDSJ33, DESKTOP-ER662A2, DESKTOP-KND184L","P. Gupta
CHD-TS1
Support - Remote",JDH Pacific,N,1.67 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",186476,2024-01-17T16:00:00,2024-01-17T17:40:00,CHD-TS1,Support,Remote,P. Gupta,0.0000,0.0000,0.00,1.67,1.67,My RMM
Under Contract,2024-01-17,Onboarding,"- 
0.65 hrs",<p>Looking into sql server.</p><p>Found an sqlexpress instance running on DC.</p><p>Looks like it is old and unused.</p><p>Installing sql management studio.</p><p>Unable to connect to the sql instance,"J. Chou
IRV-TS1
Support - Remote",JDH Pacific,N,0.65 hrs / $0,"IRV-TS1
Support
Remote","Invoice 
Contracted",201806,2024-01-17T15:23:00,2024-01-17T16:02:00,IRV-TS1,Support,Remote,J. Chou,0.0000,0.0000,0.00,0.65,0.65,Project Work
Under Contract,2024-01-17,Onboarding Project,"- 
0.50 hrs","Addressing sql issue with Henry, installed myremote on term server and testing of SQL with Justin. Requesting restart to troubleshoot further ping having trasmition issues.","K. Stickel
IRV-TS1
Support - Remote",JDH Pacific,N,0.50 hrs / $0,"IRV-TS1
Support
Remote","Support Contract 
Contracted",186477,2024-01-17T15:30:00,2024-01-17T16:00:00,IRV-TS1,Support,Remote,K. Stickel,0.0000,0.0000,0.00,0.50,0.50,Onboarding
