ConName,TimeEntryDate,Title,TimeDiff,Notes,Resource,Requestor,HourType,BillRate,PODDet,InvDescription,InvDetID,StartDateTime,EndDateTime,Office-POD,RoleType,WorkType,AssignedName,AH_Rate,NH_Rate,AH_HoursWorked,NH_HoursWorked,Qty,Category
Under Contract,2026-04-01,"Screenconnect Latest version  (V 26.1.22.9573)  updated on machine CHADMORRIS,KEVIN-MAAHS, MATTW","- 
0.75 hrs","Checked and found that the computers machine&nbsp; CHADMORRIS,KEVIN-MAAHS, MATTW,&nbsp; were running an old version of ScreenConnect. update the software from the portal to the new version V 26.1.22.9573. After updating, verify that the version on the portal has been successfully updated to the latest version. Hence Closing this ticket .<br />","S. Kumar
CHD-TS1
Support - Remote",Strategic Air Services,N,0.75 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220215,2026-04-01T18:00:00,2026-04-01T18:45:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.75,0.75,My Remote
Under Contract,2026-04-04,"Manage Engine Synchronization Issue for SAS Machines:ChadMorris,Kevin-Maahs, MattW, RyansWin11","- 
0.97 hrs","<p data-start=""161"" data-end=""237"">Observed a synchronization issue in Manage Engine on the following machines:</p><p data-pm-slice=""1 1 []"">ChadMorris,Kevin-Maahs, MattW, RyansWin11</p><p data-start=""335"" data-end=""352""><strong data-start=""335"" data-end=""352"">Action Taken:</strong></p><ul data-start=""353"" data-end=""656""><li data-section-id=""1p8hphb"" data-start=""353"" data-end=""423"">Logged into the Manage Engine portal and reviewed the device status.
</li><li data-section-id=""12wjqe2"" data-start=""424"" data-end=""482"">Identified synchronization issues on the above machines.
</li><li data-section-id=""rrkfpf"" data-start=""483"" data-end=""565"">Performed necessary troubleshooting steps to re-sync the agents with the server.
</li><li data-section-id=""1dmrwx"" data-start=""566"" data-end=""656"">Verified connectivity and ensured communication between agents and Manage Engine server.
</li></ul><p data-start=""658"" data-end=""670""><strong data-start=""658"" data-end=""670"">Outcome:</strong></p><ul data-start=""671"" data-end=""808""><li data-section-id=""92lrm3"" data-start=""671"" data-end=""713"">Synchronization issue has been resolved.
</li><li data-section-id=""gvzsh0"" data-start=""714"" data-end=""773"">All machines are now properly syncing with Manage Engine.
</li><li data-section-id=""16sjgob"" data-start=""774"" data-end=""808"">Systems are working as expected.</li></ul>","R. Uniyal
CHD-TS1
Support - Remote",Strategic Air Services,AH,0.97 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",220290,2026-04-04T00:00:00,2026-04-04T00:58:00,CHD-TS1,Support,Remote,R. Uniyal,0.0000,0.0000,0.97,0.00,0.97,My RMM
Under Contract,2026-04-05,Missing and failed patch update on the systems:- Kevin-Maahs,"- 
0.25 hrs",Missing and failed patch update on the systems:- Kevin-Maahs,"D. Bhardwaj
CHD-TS1
Support - Remote",Strategic Air Services,N,0.25 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220289,2026-04-05T10:30:00,2026-04-05T10:45:00,CHD-TS1,Support,Remote,D. Bhardwaj,0.0000,0.0000,0.00,0.25,0.25,My RMM
Under Contract,2026-04-05,"Failed patches updated on machine Matyas,RyansWin11,ChadMorris","- 
0.98 hrs","<p class=""pf0""><span class=""cf0"">Worked on the  ticket. Login to the manage engine portal and checked failed or missing patches for the below mentioned machine then download and installed</span></p><p class=""pf0""><span class=""cf0"">the failed patches manually which are applicable to the computer. Then scan the machine for installed patches.</span></p><p class=""pf0""><span class=""cf0"">Didn't reboot the machine as multiple user task were open. </span></p><p class=""pf0"">&nbsp;</p><p class=""pf0""><span class=""cf0"">Machine : Matyas,RyansWin11,ChadMorrisMatyas,RyansWin11,ChadMorris</span></p><p class=""pf0""><span class=""cf0"">Patch installed:</span></p><p class=""pf0""><span class=""cf0"">Patch ID   Patch Name</span></p><p class=""pf0""><span class=""cf0"">112768 Update for Microsoft Teams Machine-Wide Installer 1.8.00.27654 (x64)</span></p><p class=""pf0""><span class=""cf0"">113145 2026-03 Cumulative Update for Windows 11, version 25H2 for x64-based Systems (KB5086672) (26200.8117)</span></p><p class=""pf0""><span class=""cf0"">1319954 Wireless-AC 9560[PCI\\VEN_8086&amp;DEV_7AF0] (24.20.0.4)</span></p><p class=""pf0""><span class=""cf0"">43957 Update for Microsoft 365 Apps for Business Current Channel for x64 2603 of version(19822.20142)</span></p>","S. Sharma
CHD-TS1
Support - Remote",Strategic Air Services,AH,0.98 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",220290,2026-04-05T23:00:00,2026-04-05T23:59:00,CHD-TS1,Support,Remote,S. Sharma,0.0000,0.0000,0.98,0.00,0.98,My RMM
Under Contract,2026-04-08,"Cisco Umbrella Agent Syncing Issue with Portal for machines CHADMORRIS,KEVIN-MAAHS,MATTW,MATYAS","- 
0.98 hrs","<span style=""font-family:-apple-system, BlinkMacSystemFont, 'Segoe UI', system-ui, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Web', sans-serif;font-size:14px;white-space-collapse:preserve;"">Logged into the Cisco Umbrella portal and identified that machines CHADMORRIS,KEVIN-MAAHS,MATTW,MATYAS were experiencing syncing issues with the Cisco Umbrella portal. I then connected to the affected machines and addressed the network connectivity settings. After ensuring proper communication between the agent and the portal, the agent is now successfully syncing and communicating with the Cisco Umbrella cloud, with the correct status and configuration reflected in the portal.</span>","P. Biswal
CHD-TS1
Support - Remote",Strategic Air Services,AH,0.98 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",220290,2026-04-08T00:00:00,2026-04-08T00:59:00,CHD-TS1,Support,Remote,P. Biswal,0.0000,0.0000,0.98,0.00,0.98,My Secure Internet
Under Contract,2026-04-09,"ManageEngine Agent Version(11.5.2600.32.W updated on MattW, Matyas","- 
0.63 hrs","Logged into the portal, then accessed each machine MattW, Matyas, installed the agent,11.5.2600.32.W and verified it is functioning correctly.<br />","R. Uniyal
CHD-TS1
Support - Remote",Strategic Air Services,AH,0.63 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",220290,2026-04-09T00:00:00,2026-04-09T00:38:00,CHD-TS1,Support,Remote,R. Uniyal,0.0000,0.0000,0.63,0.00,0.63,My RMM
Under Contract,2026-04-11,"Crowdstrike latest version updated on machines KEVIN-MAAHS,KEVINT,MATTW","- 
0.82 hrs","Logged into the CrowdStrike portal to identify machines running outdated versions. Found the following machines with an older version installed: Connected to each machineKEVIN-MAAHS,KEVINT,MATTW uninstalled the old version, and installed the latest CrowdStrike sensor7.35.20709.0 Verified from the portal that the update was successful. Hence, closing this ticket<br />","R. Uniyal
CHD-TS1
Support - Remote",Strategic Air Services,AH,0.82 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",220368,2026-04-11T02:26:00,2026-04-11T03:15:00,CHD-TS1,Support,Remote,R. Uniyal,0.0000,0.0000,0.82,0.00,0.82,My AntiVirus
Under Contract,2026-04-12,"Failed patches updated on machine CHADMORRIS,KEVIN-MAAHS,MATTW,MATYAS,RYANSWIN11","- 
1.30 hrs","<p class=""pf0""><span class=""cf0"">Worked on the  ticket. Login to the manage engine portal and checked failed or missing patches  for the below mentioned machine then download and installed</span></p><p class=""pf0""><span class=""cf0"">the failed patches manually which are applicable to the computer. Then   scan the machine for installed patches.</span></p><p class=""pf0""><span class=""cf0"">After scan Check and verify the machine with the MY RMM portal. The failed patches are updated successfully and machine are in healthy state.</span></p><p class=""pf0"">&nbsp;</p><p class=""pf0""><span class=""cf0"">Machine : CHADMORRIS,KEVIN-MAAHS,MATTW,MATYAS,RYANSWIN11</span></p><p class=""pf0""><span class=""cf0"">Patch installed:</span></p><p class=""pf0""><span class=""cf0"">Patch ID   Patch Name</span></p><p class=""pf0""><span class=""cf0"">357851 Google Chrome (x64) (147.0.7727.55,147.0.7727.56)</span></p><p class=""pf0""><span class=""cf0"">43976 Update for Microsoft 365 Apps for Business Current Channel for x64 2603 of version(19822.20168)</span></p><p class=""pf0""><span class=""cf0"">400009 The latest update for Microsoft Defender (1.449.47.0)</span></p><p class=""pf0""><span class=""cf0"">357880 Mozilla Firefox (x64) (149.0.2)</span></p><p class=""pf0""><span class=""cf0"">1319954 Wireless-AC 9560[PCI\\VEN_8086&amp;DEV_7AF0] (24.20.0.4)</span></p>","S. Sharma
CHD-TS1
Support - Remote",Strategic Air Services,AH,1.30 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",220368,2026-04-12T01:49:00,2026-04-12T03:07:00,CHD-TS1,Support,Remote,S. Sharma,0.0000,0.0000,1.30,0.00,1.30,My RMM
Under Contract,2026-04-15,"Myremote version upgrade to Latest Version -26.1.25.9592 for MATTW, KEVIN-MAAHS, CHADMORRIS,MATYAS","- 
0.92 hrs","Checked and found that the computer MATTW, KEVIN-MAAHS, CHADMORRIS,MATYAS was running an old version of ScreenConnect. update the software from the portal to the new version V 26.1.25.9592. After updating, verify that the version on the portal has been successfully updated to the latest version. Hence Closing this ticket","G. Kumar
CHD-TS1
Support - Remote",Strategic Air Services,AH,0.92 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted 
After-Hours",220368,2026-04-15T02:10:00,2026-04-15T03:05:00,CHD-TS1,Support,Remote,G. Kumar,0.0000,0.0000,0.92,0.00,0.92,My Remote
Under Contract,2026-04-15,SAS– Network Detective Report Generated and Updated Under Teams,"- 
0.75 hrs","As per assigned task by lead, Network Detective reports were generated successfully for SAS Client. Checked and verified the reports are proper. Then uploaded the report to the appropriate client Teams channel for SAS. It is now ready for review and take actions on alerts.","S. Kumar
CHD-TS1
Support - Remote",Strategic Air Services,N,0.75 hrs / $0,"CHD-TS1
Support
Remote","Support Contract 
Contracted",220367,2026-04-15T16:00:00,2026-04-15T16:45:00,CHD-TS1,Support,Remote,S. Kumar,0.0000,0.0000,0.00,0.75,0.75,Monthly Scan
